,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01
Biljana BORZAN,1,0,2,2,4,4,4,27,37,41,27,15,24,0,28,40,15,15,14,17,15,20,14,19,15,0,25,59,24,44,0,2,2,1,3,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,2,3,0,0,0,2
Davor ŠKRLEC,0,0,5,4,8,10,10,7,16,17,7,8,3,0,27,66,5,3,17,32,21,99,19,36,21,0,0,26,26,46,0,1,9,0,4,0,2,0,3,0,3,0,2,2,0,1,0,2,0,0,1,1,0,2,0,1
Dubravka ŠUICA,5,0,16,14,35,42,16,29,50,98,31,22,25,0,35,70,25,51,17,39,18,103,36,54,28,0,40,53,29,54,1,3,4,5,4,6,4,0,2,4,5,3,6,6,3,2,5,3,1,0,1,5,5,5,5,5
Ivan JAKOVČIĆ,0,0,14,19,37,46,20,48,85,135,55,45,68,0,58,106,44,78,35,67,35,133,45,85,47,0,48,82,34,63,3,11,16,16,7,3,5,0,7,8,4,3,4,6,3,3,4,4,4,0,5,3,10,4,3,6
Ivana MALETIĆ,2,0,9,11,14,38,14,23,29,80,25,21,38,0,34,69,28,44,28,45,24,108,34,43,22,0,18,37,26,57,0,3,1,2,5,5,4,0,0,3,0,1,2,5,3,4,2,0,0,0,2,3,1,0,4,3
Ivica TOLIĆ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49,0,1,1,1,1,0,0,0,0,2,3,5,1,3,1,0,0,0,1,0,0,0,0,0,0,0
Jozo RADOŠ,0,0,0,2,2,1,1,1,2,3,2,0,1,0,0,4,1,3,2,5,2,2,1,2,1,0,0,3,2,2,1,2,3,1,2,3,1,0,2,3,1,2,2,2,1,0,1,0,0,0,0,2,4,3,0,3
Marijana PETIR,2,0,4,4,6,6,7,26,37,99,43,25,44,0,45,76,26,57,23,45,32,113,35,60,25,0,38,63,28,59,1,6,3,6,5,5,0,0,5,3,3,5,6,4,3,6,9,4,2,0,2,2,5,4,2,6
Ruža TOMAŠIĆ,3,0,5,9,25,10,10,17,15,21,18,24,44,0,44,37,32,60,25,44,24,101,31,55,24,0,34,74,28,58,1,6,10,10,9,11,7,0,6,13,11,6,6,6,10,6,8,4,5,0,6,14,15,4,12,10
Tonino PICULA,3,0,3,4,6,5,8,26,47,97,33,14,40,0,40,68,23,45,27,45,27,106,29,48,25,0,23,58,30,51,1,4,4,2,1,4,1,0,1,4,4,4,2,2,1,1,3,2,1,0,1,1,3,3,0,1
Željana ZOVKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,0,1,1,1,1,2,2,0,1,1,1,2,0,2,0,2,2,3,2,0,0,2,2,3,1,2
